GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	G3X9X1	Kbtbd2	acts_upstream_of_or_within_positive_effect	GO:0006006	glucose metabolic process	ECO:0000315	IMP	PMID:27708159	MGI:MGI:5806297	10090	MGI		P
UniProtKB	O08528	Hk2	acts_upstream_of_or_within	GO:0006006	glucose metabolic process	ECO:0000315	IMP	PMID:10428828	MGI:MGI:3624862	10090	MGI		P
UniProtKB	O08755	Onecut1	acts_upstream_of_or_within	GO:0006006	glucose metabolic process	ECO:0000315	IMP	PMID:10825208	MGI:MGI:2179340	10090	MGI		P
UniProtKB	O09159	Man2b1	acts_upstream_of_or_within	GO:0006013	mannose metabolic process	ECO:0000314	IDA	PMID:9355733		10090	MGI		P
UniProtKB	O09159	Man2b1	acts_upstream_of_or_within	GO:0006013	mannose metabolic process	ECO:0000314	IDA	PMID:9305783		10090	MGI		P
UniProtKB	O09159	Man2b1	acts_upstream_of_or_within	GO:0006013	mannose metabolic process	ECO:0000315	IMP	PMID:10400983	MGI:MGI:3584185	10090	MGI		P
UniProtKB	O54943	Per2	involved_in	GO:0006094	gluconeogenesis	ECO:0000315	IMP	PMID:22504074		10090	UniProt		P
UniProtKB	P01326	Ins2	acts_upstream_of_or_within	GO:0006006	glucose metabolic process	ECO:0000315	IMP	PMID:11854325	MGI:MGI:1857572	10090	MGI		P
UniProtKB	P06151	Ldha	acts_upstream_of_or_within	GO:0019661	glucose catabolic process to lactate via pyruvate	ECO:0000315	IMP	PMID:8224816	MGI:MGI:2384559	10090	MGI	occurs_in(CL:0000232)	P
UniProtKB	P06804	Tnf	acts_upstream_of_or_within	GO:0006006	glucose metabolic process	ECO:0000314	IDA	PMID:12068289		10090	MGI		P
UniProtKB	P13707	Gpd1	acts_upstream_of_or_within	GO:0006094	gluconeogenesis	ECO:0000315	IMP	PMID:12093800		10090	MGI		P
UniProtKB	P15535	B4galt1	acts_upstream_of_or_within	GO:0006012	galactose metabolic process	ECO:0000314	IDA	PMID:9813328		10090	MGI		P
UniProtKB	P17751	Tpi1	acts_upstream_of_or_within	GO:0006006	glucose metabolic process	ECO:0000314	IDA	PMID:2693209		10090	MGI		P
UniProtKB	P31750	Akt1	acts_upstream_of_or_within	GO:0006006	glucose metabolic process	ECO:0000315	IMP	PMID:19897600		10090	MGI		P
UniProtKB	P41160	Lep	acts_upstream_of_or_within	GO:0006006	glucose metabolic process	ECO:0000315	IMP	PMID:12540600	MGI:MGI:1856424	10090	MGI		P
UniProtKB	P42337	Pik3ca	acts_upstream_of_or_within	GO:0006006	glucose metabolic process	ECO:0000315	IMP	PMID:16625210	MGI:MGI:3628805	10090	MGI		P
UniProtKB	P47811	Mapk14	acts_upstream_of_or_within	GO:0006006	glucose metabolic process	ECO:0000315	IMP	PMID:12802337		10090	MGI		P
UniProtKB	P47857	Pfkm	acts_upstream_of_or_within	GO:0061621	canonical glycolysis	ECO:0000315	IMP	PMID:19696889	MGI:MGI:4356541	10090	MGI	occurs_in(EMAPA:32716)	P
UniProtKB	P52792	Gck	acts_upstream_of_or_within	GO:0006006	glucose metabolic process	ECO:0000314	IDA	PMID:3931624		10090	MGI		P
