Name	Half-life (h)
0610009O20Rik	3.951685478
1110004F10Rik	5.936154332
1110008F13Rik	5.290183745
1110012L19Rik	3.079123129
1110038F14Rik	3.212735916
1500009L16Rik	6.060218369
1600002K03Rik	6.121674458
1600012H06Rik	2.282191143
1700029P11Rik	5.559803611
1700061G19Rik	5.989867167
1700123O20Rik	1.392595005
1810009A15Rik	4.315322866
1810013L24Rik	2.372233995
1810037I17Rik	4.644478857
2210013O21Rik	7.738179065
2310022A10Rik	2.075923373
2310022A10Rik	2.716239811
2310033P09Rik	2.423487963
2310035C23Rik	2.028733
2310036O22Rik	4.388556906
2310039H08Rik	6.307200304
2410002F23Rik	1.727388732
2410003L11Rik	6.058960339
2410004B18Rik	2.799787844
2410006H16Rik	4.216505009
2410131K14Rik	1.861729423
2510039O18Rik	3.033287206
2610021A01Rik	2.192125938
2610507B11Rik	5.502390366
2810025M15Rik	7.203211047
2810403A07Rik	2.112665343
2810474O19Rik	2.490665609
4833420G17Rik	2.200423228
4930427A07Rik	1.995573981
4930461G14Rik	3.315785107
4932438A13Rik	2.666942914
4933434E20Rik	2.165290618
5730480H06Rik	2.183710134
9430015G10Rik	2.530114932
9530068E07Rik	2.660419134
A430005L14Rik	1.938880556
A830080D01Rik	1.809915021
AA465934	2.923826931
Aacs	4.932605723
Aagab	3.620134449
Aak1	2.448856737
Aar2	1.714536342
Aard	4.400378644
Aars	4.343671757
Abcc1	2.361528164
Abcg2	5.261853689
Abhd11	5.362019095
Abhd13	2.015277392
Abhd16a	2.368496682
Abhd17b	1.930387451
Abhd2	3.867247361
Abhd4	5.2185835
Abhd6	4.496097196
Abl1	3.236347645
Abl2	1.540414867
Acaa1a	5.869241232
Acaca	4.979096352
Acadsb	3.90918439
Acbd3	1.99035252
Acbd6	5.840050817
Acer2	1.522458477
Aco1	6.260968998
Aco2	7.64070985
Acot7	8.892349711
Acot9	5.140127174
Acp6	4.617403987
Acsl3	3.549800383
Actl6a	5.005139081
Actr10	4.720945522
Actr3b	3.988418517
Actr5	1.927184774
Actr8	2.352750984
Acvr1b	3.174265985
Adam10	2.52589383
Adar	3.768285223
Add1	5.34426516
Adgrb1	3.631701064
Adgrl1	4.106272266
Adh5	9.079796501
Adipor1	3.629328479
Adk	3.508207792
Adpgk	3.937777007
Adrm1	2.969298233
Adsl	4.120818772
Aebp2	1.212846102
Aen	2.726769298
Aes	7.334181365
Afdn	2.640404038
Aff4	3.772936352
Afg3l1	5.681519519
Agap1	2.207102211
Agap3	4.51906013
Agap3	3.961455942
Agfg1	2.97596518
Agfg1	2.262784186
Agk	3.033094707
Agpat1	4.334386771
Agpat5	5.569003265
Agpat5	2.534362493
Agps	2.124569565
Ahnak	4.149100121
Ahsa1	4.675068842
AI597479	1.909546354
AI837181	1.007491912
Aida	5.351280982
Aim1l	4.922863069
Ak1	9.703564696
Ak2	5.527587993
